날짜,통관번호,국가명,hs_code,수출금액,수출입구분,중량
2025-01-01,TX-25795,미국,8542311010,675000000,Import,413.1108396728508
2025-01-20,TX-15311,미국,8541100000,270000000,Import,203.281056258908
2025-01-26,TX-35658,베트남,8542311010,1350000000,Export,309.1660588661381
2025-01-30,TX-69150,베트남,8541100000,135000000,Import,355.9301509551106
2025-02-16,TX-53001,베트남,8542311010,270000000,Import,485.8933747883607
2025-02-17,TX-86552,베트남,8542311010,675000000,Export,426.6337434068182
2025-02-27,TX-99475,베트남,8542311010,1350000000,Export,220.0944155550145
2025-03-03,TX-88953,미국,8541100000,135000000,Import,383.4382374098008
2025-03-09,TX-81211,미국,8541100000,135000000,Export,490.0553009394219
2025-03-21,TX-84065,미국,8542311010,270000000,Import,126.35595675300448
2025-03-26,TX-73704,베트남,8542311010,135000000,Import,235.0430243924838
2025-04-03,TX-50774,베트남,8541100000,675000000,Import,235.06480246341607
2025-04-15,TX-99998,미국,8542311010,13500000000,Export,120.5
2025-04-16,TX-99999,베트남,8542311010,27000000000,Export,240.0
